name,state,month,temp_min,temp_max,rainfall,solar
Medina Research Centre,WA,1,16.977262443438914,30.84186046511628,0.37545195052331115,29.325975609756096
Medina Research Centre,WA,2,17.61043771043771,31.499217002237135,0.762252346193952,26.05078125
Medina Research Centre,WA,3,15.943099787685775,29.32845100105374,0.6267364414843006,21.11500600240096
Medina Research Centre,WA,4,13.254876741693462,25.675667022411954,1.2916110581506197,15.104145728643216
Medina Research Centre,WA,5,10.472257383966245,22.070569620253163,3.167741935483871,11.116726835138387
Medina Research Centre,WA,6,8.999682203389831,19.48446088794926,4.579349904397706,9.14145728643216
Medina Research Centre,WA,7,8.14690082644628,18.238958333333333,4.7121184088806665,9.767548076923077
Medina Research Centre,WA,8,8.242421159715157,18.90842754367934,3.734011090573013,12.960048721071864
Medina Research Centre,WA,9,9.147741273100616,20.3551901336074,2.595324427480916,17.124201474201474
Medina Research Centre,WA,10,10.30375782881002,22.713839750260146,1.2690232558139536,22.652912621359224
Medina Research Centre,WA,11,13.373978494623655,26.11573275862069,1.0537799043062201,26.78542199488491
Medina Research Centre,WA,12,15.045764462809917,28.233645833333334,0.38909426987060997,29.861596009975063
Perth Metro,WA,1,18.080496894409936,31.17176616915423,0.6377639751552795,29.048152866242038
Perth Metro,WA,2,18.28174386920981,31.563487738419617,0.4269754768392371,25.976381215469612
Perth Metro,WA,3,16.695262483994878,29.579513444302176,0.6499359795134443,21.120472440944884
Perth Metro,WA,4,13.803733333333334,25.910266666666665,1.2176,15.217307692307692
Perth Metro,WA,5,10.51483870967742,22.338193548387096,2.833548387096774,11.350401069518716
Perth Metro,WA,6,8.552870493991989,19.448,4.230666666666667,9.4662087912087909
Perth Metro,WA,7,7.844573643410853,18.413290322580647,4.735225806451613,10.058157894736842
Perth Metro,WA,8,8.333333333333334,19.034709677419354,4.021677419354838,13.172811671087533
Perth Metro,WA,9,9.529639519359145,20.31789052069426,2.8304,17.21099050203528
Perth Metro,WA,10,11.585032258064516,23.358268733850128,1.2500645161290322,22.7659121171771
Perth Metro,WA,11,14.332042723631508,26.685140562248996,0.7471295060080106,26.986177715091678
Perth Metro,WA,12,16.339225806451612,29.104909560723513,0.36361290322580647,29.737190082644627
Victoria River Downs,NT,1,24.942941952506597,36.55330339961514,5.814183551847438,23.837543453070683
Victoria River Downs,NT,2,24.454597291518176,35.48703832752613,7.234810951760104,22.97849196538937
Victoria River Downs,NT,3,23.262533156498673,35.191350632069195,4.152267156862745,23.173224679860304
Victoria River Downs,NT,4,19.771507607192255,34.69172881355932,0.8498450092994421,22.005109489051094
Victoria River Downs,NT,5,15.826803441429517,32.01013557133635,0.21895620875824834,19.676140350877194
Victoria River Downs,NT,6,11.898779612347452,29.267815299793245,0.09536855838225701,18.517981888745148
Victoria River Downs,NT,7,11.003498349834983,29.45879659908437,0.12830994508846857,19.462152777777778
Victoria River Downs,NT,8,13.055526487900588,31.948519948519948,0.01977886977886978,22.05452380952381
Victoria River Downs,NT,9,18.170459218642907,35.704268292682926,0.18916876574307306,24.17334123222749
Victoria River Downs,NT,10,22.364747736093143,37.89655620532813,0.7805522208883553,25.40895348837209
Victoria River Downs,NT,11,24.610282258064515,38.54609271523179,2.1838345864661655,25.278862793572312
Victoria River Downs,NT,12,25.140687679083094,37.64503084304318,4.004082876294942,23.78118811881188
Central Arnhem Plateau,NT,1,23.25448275862069,31.778850574712642,8.920919540229885,20.285287356321838
Central Arnhem Plateau,NT,2,23.094601542416452,31.921649484536083,9.006666666666666,21.465979381443297
Central Arnhem Plateau,NT,3,22.974818401937046,32.1669099756691,8.246859903381642,21.552415458937197
Central Arnhem Plateau,NT,4,21.597889182058047,32.445238095238096,1.9071240105540896,22.295238095238094
Central Arnhem Plateau,NT,5,19.49247572815534,30.616625916870415,0.36213592233009706,20.272262773722627
Central Arnhem Plateau,NT,6,16.313480392156862,28.518627450980393,0.00392156862745098,19.59656862745098
Central Arnhem Plateau,NT,7,15.876722090261282,29.01909307875895,0.0863849765258216,20.56525821596244
Central Arnhem Plateau,NT,8,15.826637554585153,30.69301310043668,0.027074235807860263,23.007423580786025
Central Arnhem Plateau,NT,9,19.1431151241535,33.86388261851016,0.181941309255079,24.680316742081448
Central Arnhem Plateau,NT,10,22.063215859030837,35.60622222222222,0.9145374449339208,25.588741721854305
Central Arnhem Plateau,NT,11,23.43193473193473,35.11341176470588,3.940792540792541,23.991044776119402
Central Arnhem Plateau,NT,12,23.561434977578475,33.23497757847534,8.080973451327434,21.419239904988125
Kadina Aws,SA,1,15.802112676056337,32.24704491725768,0.4647887323943662,27.30492957746479
Kadina Aws,SA,2,15.11439588688946,30.93496143958869,0.45089974293059126,24.14780361757106
Kadina Aws,SA,3,13.660146699266503,28.515403422982885,1.017114914425428,19.28924205378973
Kadina Aws,SA,4,10.459020618556702,24.157731958762888,0.9561855670103093,14.492764857881136
Kadina Aws,SA,5,8.451898734177215,19.554060913705584,1.3255696202531646,10.333248730964467
Kadina Aws,SA,6,5.79818652849741,16.1339378238342,1.3238341968911918,8.889119170984456
Kadina Aws,SA,7,5.344794188861986,15.49007263922518,1.1016949152542372,9.49368932038835
Kadina Aws,SA,8,4.840972222222222,17.1,1.0458333333333334,12.859027777777778
Kadina Aws,SA,9,6.0277511961722485,20.248564593301435,1.0942583732057416,17.218225419664268
Kadina Aws,SA,10,8.222969837587007,24.287006960556845,0.6972222222222222,21.42615740740741
Kadina Aws,SA,11,11.32742718446602,27.630413625304136,0.5689320388349515,24.727012987012987
